qid,query
103,Should Gay Marriage Be Legal
96,Should Medical Aid in Dying Be Legal
65,Is Binge Watching Good for You
83,Should the Penny Stay in Circulation
22,Is a College Education Worth It
60,Should the U S  Government Provide a Path to Citizenship for Undocumented Immigrants
84,Was Ronald Reagan a Good President
24,Should Police Officers Wear Body Cameras
132,Should Employers Be Able to Mandate Vaccinations
72,Should the US Government Regulate Prescription Drug Prices
144,Should the United States Continue Its Use of Drone Strikes Abroad
149,Was Bill Clinton a Good President
130,Should Birth Control Pills Be Available Over the Counter  OTC
34,Should the Voting Age Be Lowered to 16
145,Should Parents or Other Adults Be Able to Ban Books from Schools and Libraries
86,Should the United States Implement a Universal Basic Income
74,Is Social Media Good for Society
69,Should Fighting Be Allowed in Hockey
136,Should Bottled Water Be Banned
36,What is an Impeachment Explainer
46,Should Washington  DC  and Puerto Rico Be Granted US Statehood
75,Is Cheerleading a Sport
17,Is Vaping with E Cigarettes Safe
8,Should Police Departments Be Defunded  if Not Abolished
4,Are the Olympic Games an Overall Benefit for Their Host Countries and Cities
120,Is Pokémon Go Good for Society
98,Should Students Have to Wear School Uniforms
76,What is the Historical Timeline of the Death Penalty
11,Should the US Have Net Neutrality Laws
107,Should People Become Vegetarian
93,Should Historic Statues Be Taken Down
39,Should the Drinking Age Be Lowered from 21 to a Younger Age
101,Should Breed Specific Legislation   Pit Bull Bans   Be Enacted
30,Should Colleges and Universities Pay College Athletes
59,Should States Have School Voucher Programs
141,Is Golf a Sport and Are Golfers Athletes
23,Should Abortion Be Legal
81,What is the History of Abortion
62,Are Electronic Voting Machines the Best Method for Voting
90,Is Cancel Culture Good for Society
53,Should Fur Clothing Be Banned
110,Should Tablets Replace Textbooks in K 12 Schools
127,Should More Gun Control Laws Be Enacted
123,Should Zoos Exist
148,Should the United States Keep Daylight Saving Time
32,Should Sanctuary Cities Receive Federal Funding
108,Is CBD Good for Pets
126,Should the United States Return to a Gold Standard
125,Should Public College Be Tuition Free
50,Should Student Loan Debt Be Eliminated via Forgiveness or Bankruptcy
109,Should Animals Be Used for Scientific or Commercial Testing
135,Is Human Activity Primarily Responsible for Global Climate Change
79,Is Kneeling during the National Anthem an Appropriate Form of Protest
118,Is Obesity a Disease
146,Should the Federal Corporate Income Tax Rate Be Raised
41,Should Humans Consume Dairy Milk
26,Should Fast Food Workers Have a  20 Minimum Wage in California
14,Should the US Become Socialist
124,Should Teachers Get Tenure
51,Should the Federal Government Pay Reparations to the Descendants of Enslaved People
150,Should States Be Allowed to Mandate Vaccines for School Attendance
116,Should Medical Marijuana Be Legal
10,Should Election Day Be Made a National Holiday
35,Should the United States Continue Fracking
119,Should the United States Have Mandatory National Service
89,Should the US Senate Keep the Filibuster
18,Is Cancel Culture Beneficial
147,Is the Internet  Making Us Stupid
